word,category,syllables,tonic
abajo,adverbio,a ba jo,2
abdicativamente,adverbio,ab di ca ti va men te,6
abiertamente,adverbio,a bier ta men te,4
abierto,adverbio,a bier to,2
abreviadamente,adverbio,a bre via da men te,5
absolutamente,adverbio,ab so lu ta men te,5
abstractamente,adverbio,abs trac ta men te,4
abundantemente,adverbio,a bun dan te men te,5
aburridamente,adverbio,a bu rri da men te,5
acá,adverbio,a cá,2
académicamente,adverbio,a ca dé mi ca men te,3
acaloradamente,adverbio,a ca lo ra da men te,6
acaso,adverbio,a ca so,2
accesoriamente,adverbio,ac ce so ria men te,5
accidentalmente,adverbio,ac ci den tal men te,5
aceleradamente,adverbio,a ce le ra da men te,6
acertadamente,adverbio,a cer ta da men te,5
acordemente,adverbio,a cor de men te,4
acremente,adverbio,a cre men te,3
activamente,adverbio,ac ti va men te,4
actualmente,adverbio,ac tual men te,3
acuciosamente,adverbio,a cu cio sa men te,5
acullá,adverbio,a cu llá,3
adagio,adverbio,a da gio,2
adecuadamente,adverbio,a de cua da men te,5
adelante,adverbio,a de lan te,3
además,adverbio,a de más,3
adentro,adverbio,a den tro,2
administrativamente,adverbio,ad mi nis tra ti va men te,7
adonde,adverbio,a don de,2
adónde,adverbio,a dón de,2
adondequiera,adverbio,a don de quie ra,4
adrede,adverbio,a dre de,2
advertidamente,adverbio,ad ver ti da men te,5
afablemente,adverbio,a fa ble men te,4
afanosamente,adverbio,a fa no sa men te,5
afirmativamente,adverbio,a fir ma ti va men te,6
afligidamente,adverbio,a fli gi da men te,5
afluentemente,adverbio,a fluen te men te,4
afortunadamente,adverbio,a for tu na da men te,6
afuera,adverbio,a fue ra,2
agradablemente,adverbio,a gra da ble men te,5
agresivamente,adverbio,a gre si va men te,5
agriamente,adverbio,a gria men te,3
agudamente,adverbio,a gu da men te,4
ahí,adverbio,a hí,2
ahora,adverbio,a ho ra,2
ahorita,adverbio,a ho ri ta,3
airadamente,adverbio,ai ra da men te,4
airosamente,adverbio,ai ro sa men te,4
aisladamente,adverbio,ais la da men te,4
ajustadamente,adverbio,a jus ta da men te,5
aldeanamente,adverbio,al de a na men te,5
alderredor,adverbio,al de rre dor,4
aleatoriamente,adverbio,a le a to ria men te,6
alegremente,adverbio,a le gre men te,4
alegreto,adverbio,a le gre to,3
alegro,adverbio,a le gro,2
alentadamente,adverbio,a len ta da men te,5
alerta,adverbio,a ler ta,2
alfabéticamente,adverbio,al fa bé ti ca men te,3
algo,adverbio,al go,1
alias,adverbio,a lias,1
allá,adverbio,a llá,2
allende,adverbio,a llen de,2
allí,adverbio,a llí,2
alocadamente,adverbio,a lo ca da men te,5
alrededor,adverbio,al re de dor,4
altamente,adverbio,al ta men te,3
alternadamente,adverbio,al ter na da men te,5
alternativamente,adverbio,al ter na ti va men te,6
alto,adverbio,al to,1
alzadamente,adverbio,al za da men te,4
amablemente,adverbio,a ma ble men te,4
amargamente,adverbio,a mar ga men te,4
amarteladamente,adverbio,a mar te la da men te,6
ambiciosamente,adverbio,am bi cio sa men te,5
ambiguamente,adverbio,am bi gua men te,4
amigablemente,adverbio,a mi ga ble men te,5
amontonadamente,adverbio,a mon to na da men te,6
amorosamente,adverbio,a mo ro sa men te,5
ampliamente,adverbio,am plia men te,3
analíticamente,adverbio,a na lí ti ca men te,3
análogamente,adverbio,a ná lo ga men te,2
